experimento,view,IoU,Dice,Precision,Recall,ROI_PA
2a-media-alta,m1_bird,0.9904187203464001,0.9951862994677158,0.9933013027811143,0.9970784641068448,0.9954047366560622
2a-media-alta,h2_running_person,0.9207924294684708,0.9587630764697215,0.9278495677747082,0.991807495189285,0.972606091749405
3b-1media-2alta,m5_guitar,0.8722131240575293,0.9317455505997488,0.8808397059064337,0.9888962423707626,0.9491804124376121
3b-1media-2alta,h1_sitting_cat,0.7776401822865069,0.8749129211134952,0.799460202678617,0.9660923076923077,0.9039649147828568
3b-1media-2alta,h3_butterfly,0.7201945650154538,0.8373408213959608,0.7528335863846616,0.9432192704992369,0.8783269682726205
3c-2simple-1media,s5_house,0.9740098711929698,0.9868338405059123,0.9967968855872171,0.9770679869580968,0.9840574787334594
3c-2simple-1media,s4_flecha,0.9374113803094754,0.9676947186711957,0.9393078312973916,0.9978508383371066,0.9700127008506616
3c-2simple-1media,m3_fish,0.93712770182107,0.9675435449506893,0.9442388213270074,0.9920277452481758,0.96726577268431
3d-simple-media-alta,s2_rectangulo,0.991098108055393,0.9955291545360861,0.9999134165059624,0.9911831715614369,0.9916428623745697
3d-simple-media-alta,m1_bird,0.9381077663270201,0.9680656386872263,0.9401987063690928,0.9976349471341124,0.9689808406789538
3d-simple-media-alta,h2_running_person,0.8610803758690734,0.9253553871545956,0.8660288670752571,0.9934078914778898,0.9383871676554604
